base_cardName,index,base_displayName,base_cardClass,base_description,base_price,base_cardWeight,base_maxStack,site_area,npc_schedule,food_HP
# ==================== 基础卡牌 (1-16) ====================
Ice,1,冰,item,降温用，临时冰淇淋替代品。,50,1,9999,0,0,0
Stone,2,石头,item,基础建材，随处可见。,30,1,9999,0,0,0
Iron_ore,3,铁矿,ore,工业基础，加工后成铁。,80,1,9999,0,0,0
Silicon_ore,4,硅矿,ore,芯片原料，科技核心。,120,2,9999,0,0,0
Magnesium_ore,5,镁矿,ore,轻质合金材料。,100,2,9999,0,0,0
Nickel_ore,6,镍矿,ore,增强装备韧性。,150,2,9999,0,0,0
Cobalt_ore,7,钴矿,ore,电池关键材料。,200,3,9999,0,0,0
Silver_ore,8,银矿,ore,导电性极佳。,300,3,9999,0,0,0
Gold_ore,9,金矿,ore,奢侈品兼货币。,500,5,9999,0,0,0
Platinum_ore,10,铂矿,ore,稀有贵金属。,800,5,9999,0,0,0
Uranium_ore,11,铀矿,ore,高危高能，谨慎使用。,1500,10,100,0,0,0
Iron,12,铁,item,基础金属，用途广泛。,150,1,9999,0,0,0
Silicon,13,硅,item,半导体核心。,250,2,9999,0,0,0
Magnesium,14,镁,item,轻量化首选。,200,2,9999,0,0,0
Nickel,15,镍,item,合金强化剂。,300,3,9999,0,0,0
Cobalt,16,钴,item,高性能电池。,400,3,9999,0,0,0

# ==================== 资源卡牌 (17-36) ====================
Aluminum,17,铝,item,轻质结构材料。,180,2,9999,0,0,0
Titanium,18,钛,item,强度重量比最优。,600,5,500,0,0,0
Copper,19,铜,item,导电王者。,120,1,9999,0,0,0
Zinc,20,锌,item,防腐蚀涂层。,100,1,9999,0,0,0
Lead,21,铅,item,辐射防护材料。,150,2,9999,0,0,0
Tin,22,锡,item,焊接必备。,80,1,9999,0,0,0
Bronze,23,青铜,item,铜锡合金，古代经典。,200,2,9999,0,0,0
Steel,24,钢,item,工业脊梁。,200,1,9999,0,0,0
Glass,25,玻璃,item,透明建材。,50,1,9999,0,0,0
Plastic,26,塑料,item,轻便合成材料。,40,1,9999,0,0,0
Rubber,27,橡胶,item,弹性密封材料。,60,1,9999,0,0,0
Wood,28,木材,item,可再生建材。,30,1,9999,0,0,0
Fabric,29,布料,item,衣物原料。,50,1,9999,0,0,0
Paper,30,纸张,item,记录信息用。,20,1,9999,0,0,0
Leather,31,皮革,item,耐用装备材料。,100,2,9999,0,0,0
Ceramic,32,陶瓷,item,耐高温材料。,120,2,9999,0,0,0
Concrete,33,混凝土,item,建筑基础。,40,1,9999,0,0,0
Brick,34,砖块,item,传统建材。,35,1,9999,0,0,0
Paint,35,油漆,item,装饰保护层。,60,1,9999,0,0,0
Glue,36,胶水,item,万能粘合剂。,30,1,9999,0,0,0

# ==================== 地区卡牌 (41-63) ====================
site1,41,初始矿区大厅,site,太空矿场入口，科技感十足的接待区。,0,0,1,120,0,0
site2,42,星际酒馆,site,霓虹闪烁，信息交换与休闲中心。,0,0,1,90,0,0
shop1,43,星际商店,site,来自各星球的奇特商品琳琅满目。,0,0,1,0,0,0
site3,44,深层采矿区 A,site,大型采矿区域，矿石资源丰富。,0,0,1,150,0,0
site4,45,深层采矿区 B,site,小型矿区，稀有矿石产出地。,0,0,1,120,0,0
site5,46,太空站大厅,site,太空站主入口，人来人往的繁忙区域。,0,0,1,150,0,0
site6,47,太空站餐厅,site,提供各星球特色美食的餐厅。,0,0,1,100,0,0
site7,48,太空站商店,site,装备与补给品商店，货物齐全。,0,0,1,80,0,0
site8,49,医疗中心,site,先进医疗设备，治疗伤病。,0,0,1,90,0,0
site9,50,科研实验室,site,进行前沿科学研究的实验室。,0,0,1,100,0,0
site10,51,健身房,site,船员锻炼身体的场所。,0,0,1,80,0,0
site11,52,娱乐中心,site,游戏与休闲设施，放松身心。,0,0,1,90,0,0
site12,53,指挥中心,site,太空站控制中枢，设备先进。,0,0,1,120,0,0
site13,54,飞船停靠区,site,多泊位飞船停靠区域。,0,0,1,150,0,0
site14,55,货物仓库,site,巨型仓储空间，存放各类物资。,0,0,1,120,0,0
site15,56,燃料站,site,为飞船补充燃料的站点。,0,0,1,100,0,0
site16,57,通信中心,site,星际通信枢纽。,0,0,1,80,0,0
