base_cardName,index,base_displayName,base_cardClass,base_description,base_price,base_cardWeight,base_maxStack,site_area,npc_schedule,food_HP
# 资源卡牌 (17-36)
Aluminum,17,铝,item,轻质金属，常用于飞船外壳和结构部件。,100,1,1000,0,0,0
Titanium,18,钛,item,高强度金属，比钢更轻但更坚固。,100,1,1000,0,0,0
Copper,19,铜,item,优秀的导电材料，用于电线和电子设备。,100,1,1000,0,0,0
Zinc,20,锌,item,防腐蚀金属，常用于电池和合金。,100,1,1000,0,0,0
Lead,21,铅,item,高密度金属，用于防护辐射和制造弹药。,100,1,1000,0,0,0
Tin,22,锡,item,柔软的金属，用于焊接和制造合金。,100,1,1000,0,0,0
Bronze,23,青铜,item,铜锡合金，古代文明的重要材料。,100,1,1000,0,0,0
Steel,24,钢,item,铁碳合金，现代工业的基础材料。,100,1,1000,0,0,0
Glass,25,玻璃,item,透明材料，用于窗户和容器。,100,1,1000,0,0,0
Plastic,26,塑料,item,轻便耐用的合成材料。,100,1,1000,0,0,0
Rubber,27,橡胶,item,弹性材料，用于密封和减震。,100,1,1000,0,0,0
Wood,28,木材,item,可再生资源，用于建筑和家具。,100,1,1000,0,0,0
Fabric,29,布料,item,用于制作衣物和装饰品。,100,1,1000,0,0,0
Paper,30,纸张,item,用于记录信息和包装。,100,1,1000,0,0,0
Leather,31,皮革,item,耐用的动物皮制品，用于制作装备。,100,1,1000,0,0,0
Ceramic,32,陶瓷,item,耐高温材料，用于厨具和装饰品。,100,1,1000,0,0,0
Concrete,33,混凝土,item,建筑材料，坚固耐用。,100,1,1000,0,0,0
Brick,34,砖块,item,传统建筑材料，用于建造房屋。,100,1,1000,0,0,0
Paint,35,油漆,item,用于装饰和保护表面。,100,1,1000,0,0,0
Glue,36,胶水,item,用于粘合各种材料。,100,1,1000,0,0,0

# 伤害卡牌 (100-199)
Damage_1,100,轻微伤害,damage,造成1点伤害，最基础的攻击。,50,1,9999,0,0,0
Damage_2,101,小型伤害,damage,造成2点伤害，比基础攻击稍强。,100,1,9999,0,0,0
Damage_3,102,中型伤害,damage,造成3点伤害，中等强度的攻击。,150,1,9999,0,0,0
Damage_4,103,大型伤害,damage,造成4点伤害，强力的攻击。,200,1,9999,0,0,0
Damage_5,104,巨大伤害,damage,造成5点伤害，非常强力的攻击。,250,1,9999,0,0,0
Damage_6,105,火焰伤害,damage,造成6点火焰伤害，附带灼烧效果。,300,1,9999,0,0,0
Damage_7,106,冰冻伤害,damage,造成7点冰冻伤害，附带减速效果。,350,1,9999,0,0,0
Damage_8,107,电击伤害,damage,造成8点电击伤害，附带麻痹效果。,400,1,9999,0,0,0
Damage_9,108,毒素伤害,damage,造成9点毒素伤害，附带持续伤害。,450,1,9999,0,0,0
Damage_10,109,神圣伤害,damage,造成10点神圣伤害，对邪恶生物有额外效果。,500,1,9999,0,0,0
Damage_11,110,暗影伤害,damage,造成11点暗影伤害，对光明生物有额外效果。,550,1,9999,0,0,0
Damage_12,111,物理伤害,damage,造成12点物理伤害，纯粹的力量攻击。,600,1,9999,0,0,0
Damage_13,112,魔法伤害,damage,造成13点魔法伤害，元素能量的释放。,650,1,9999,0,0,0
Damage_14,113,精神伤害,damage,造成14点精神伤害，攻击敌人的意志。,700,1,9999,0,0,0
Damage_15,114,声波伤害,damage,造成15点声波伤害，通过震动攻击敌人。,750,1,9999,0,0,0
Damage_16,115,辐射伤害,damage,造成16点辐射伤害，持续侵蚀敌人。,800,1,9999,0,0,0
Damage_17,116,等离子伤害,damage,造成17点等离子伤害，高温能量攻击。,850,1,9999,0,0,0
Damage_18,117,激光伤害,damage,造成18点激光伤害，精准的能量束。,900,1,9999,0,0,0
Damage_19,118,导弹伤害,damage,造成19点导弹伤害，范围性爆炸攻击。,950,1,9999,0,0,0
Damage_20,119,轨道轰炸,damage,造成20点轨道轰炸伤害，来自太空的毁灭性打击。,1000,1,9999,0,0,0
Damage_21,120,闪电链,damage,造成21点闪电链伤害，可跳跃攻击多个目标。,1050,1,9999,0,0,0
Damage_22,121,火焰风暴,damage,造成22点火焰风暴伤害，范围性火焰攻击。,1100,1,9999,0,0,0
Damage_23,122,冰霜新星,damage,造成23点冰霜新星伤害，范围性冰冻攻击。,1150,1,9999,0,0,0
Damage_24,123,地震术,damage,造成24点地震术伤害，范围性物理攻击。,1200,1,9999,0,0,0
Damage_25,124,陨石术,damage,造成25点陨石术伤害，从天而降的岩石攻击。,1250,1,9999,0,0,0
Damage_26,125,黑洞牵引,damage,造成26点黑洞牵引伤害，扭曲空间的攻击。,1300,1,9999,0,0,0
Damage_27,126,圣光制裁,damage,造成27点圣光制裁伤害，神圣力量的惩罚。,1350,1,9999,0,0,0
Damage_28,127,暗影收割,damage,造成28点暗影收割伤害，来自黑暗的侵蚀。,1400,1,9999,0,0,0
Damage_29,128,元素爆发,damage,造成29点元素爆发伤害，四种元素的混合攻击。,1450,1,9999,0,0,0
Damage_30,129,混沌能量,damage,造成30点混沌能量伤害，无序力量的攻击。,1500,1,9999,0,0,0
Damage_31,130,精准射击,damage,造成31点精准射击伤害，致命的远程攻击。,1550,1,9999,0,0,0
Damage_32,131,野蛮冲撞,damage,造成32点野蛮冲撞伤害，强力的近战攻击。,1600,1,9999,0,0,0
Damage_33,132,致命一击,damage,造成33点致命一击伤害，要害攻击。,1650,1,9999,0,0,0
Damage_34,133,连环斩,damage,造成34点连环斩伤害，快速的连续攻击。,1700,1,9999,0,0,0
Damage_35,134,旋风斩,damage,造成35点旋风斩伤害，范围性近战攻击。,1750,1,9999,0,0,0
Damage_36,135,破空斩,damage,造成36点破空斩伤害，附带剑气攻击。,1800,1,9999,0,0,0
Damage_37,136,震荡波,damage,造成37点震荡波伤害，通过地面震动攻击。,1850,1,9999,0,0,0
Damage_38,137,音爆,damage,造成38点音爆伤害，超音波攻击。,1900,1,9999,0,0,0
Damage_39,138,毒雾,damage,造成39点毒雾伤害，范围性毒素攻击。,1950,1,9999,0,0,0
